registro_id,data,turno,lab_id,codigo_disciplina,disciplina,curso,docente,finalidade,participantes_previstos,presenca_real,reserva_confirmada
U0216,2026-02-23,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Aula prática,20,20,Sim
U0217,2026-02-23,Noite,LAB08,DCA0702,Projetos Integradores,EC,Prof. Diego Alves,Projeto,25,27,Não
U0218,2026-02-24,Manhã,LAB01,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Avaliação prática,30,33,Sim
U0219,2026-02-24,Manhã,LAB02,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Aula prática,20,20,Sim
U0220,2026-02-24,Tarde,LAB02,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Projeto,24,27,Sim
U0221,2026-02-24,Manhã,LAB03,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Aula prática,24,26,Sim
U0222,2026-02-24,Noite,LAB03,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Avaliação prática,18,14,Não
U0223,2026-02-24,Manhã,LAB04,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Projeto,15,16,Sim
U0224,2026-02-24,Tarde,LAB05,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,11,9,Não
U0225,2026-02-24,Noite,LAB05,DCA0310,Redes de Computadores,EC,Prof. Ana Lima,Aula regular,13,10,Não
U0226,2026-02-24,Manhã,LAB06,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,11,11,Sim
U0227,2026-02-24,Noite,LAB06,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Aula prática,13,10,Não
U0228,2026-02-24,Manhã,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Carla Nunes,Monitoria,16,13,Sim
U0229,2026-02-24,Tarde,LAB07,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Monitoria,13,11,Sim
U0230,2026-02-24,Noite,LAB07,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Aula prática,11,10,Sim
U0231,2026-02-24,Manhã,LAB08,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula prática,28,26,Sim
U0232,2026-02-24,Tarde,LAB08,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Avaliação prática,29,31,Sim
U0233,2026-02-24,Noite,LAB08,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Avaliação prática,16,19,Sim
U0234,2026-02-25,Manhã,LAB01,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Projeto,32,30,Sim
U0235,2026-02-25,Noite,LAB01,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,20,18,Sim
U0236,2026-02-25,Tarde,LAB02,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Avaliação prática,17,17,Sim
U0237,2026-02-25,Noite,LAB02,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula regular,32,29,Sim
U0238,2026-02-25,Manhã,LAB03,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Aula prática,23,19,Sim
U0239,2026-02-25,Manhã,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Aula prática,24,26,Não
U0240,2026-02-25,Noite,LAB04,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Projeto,16,19,Sim
U0241,2026-02-25,Manhã,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Diego Alves,Projeto,10,8,Não
U0242,2026-02-25,Tarde,LAB05,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Monitoria,19,17,Sim
U0243,2026-02-25,Manhã,LAB06,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula regular,18,15,Não
U0244,2026-02-25,Tarde,LAB06,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Aula prática,13,11,Sim
U0245,2026-02-25,Tarde,LAB07,DCA0702,Projetos Integradores,EC,Prof. Elisa Moura,Monitoria,11,12,Sim
U0246,2026-02-25,Manhã,LAB08,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,28,31,Sim
U0247,2026-02-25,Tarde,LAB08,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Aula regular,30,32,Sim
U0248,2026-02-25,Noite,LAB08,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Avaliação prática,29,32,Sim
U0249,2026-02-26,Tarde,LAB01,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula prática,26,28,Não
U0250,2026-02-26,Noite,LAB01,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,21,22,Sim
U0251,2026-02-26,Manhã,LAB02,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,32,32,Sim
U0252,2026-02-26,Tarde,LAB02,DCA0101,Algoritmos,EC,Prof. Carla Nunes,Avaliação prática,27,28,Sim
U0253,2026-02-26,Manhã,LAB03,DCA0520,Ciência de Dados,EC,Prof. Ana Lima,Aula prática,25,21,Sim
U0254,2026-02-26,Manhã,LAB04,DCA0203,Estruturas de Dados,EC,Prof. Carla Nunes,Avaliação prática,21,19,Sim
U0255,2026-02-26,Tarde,LAB04,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Monitoria,23,23,Não
U0256,2026-02-26,Manhã,LAB05,DCA0702,Projetos Integradores,EC,Prof. Carla Nunes,Aula prática,10,11,Não
U0257,2026-02-26,Noite,LAB06,DCA0412,Banco de Dados,SI,Prof. Ana Lima,Avaliação prática,14,13,Não
U0258,2026-02-26,Manhã,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula regular,18,20,Sim
U0259,2026-02-26,Tarde,LAB07,DCA0601,Sistemas Embarcados,EC,Prof. Ana Lima,Projeto,10,9,Sim
U0260,2026-02-26,Noite,LAB07,DCA0412,Banco de Dados,SI,Prof. Elisa Moura,Avaliação prática,12,14,Não
U0261,2026-02-26,Noite,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Monitoria,30,29,Não
U0262,2026-02-27,Manhã,LAB01,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Monitoria,20,23,Sim
U0263,2026-02-27,Noite,LAB02,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Avaliação prática,21,20,Sim
U0264,2026-02-27,Manhã,LAB03,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Monitoria,22,21,Não
U0265,2026-02-27,Tarde,LAB03,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Avaliação prática,21,21,Não
U0266,2026-02-27,Manhã,LAB04,DCA0310,Redes de Computadores,EC,Prof. Carla Nunes,Aula prática,24,22,Sim
U0267,2026-02-27,Noite,LAB04,DCA0412,Banco de Dados,SI,Prof. Diego Alves,Aula regular,22,22,Sim
U0268,2026-02-27,Tarde,LAB05,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Aula prática,21,21,Sim
U0269,2026-02-27,Noite,LAB05,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,18,17,Sim
U0270,2026-02-27,Manhã,LAB06,DCA0601,Sistemas Embarcados,EC,Prof. Bruno Costa,Aula prática,17,14,Sim
U0271,2026-02-27,Tarde,LAB06,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Monitoria,17,16,Sim
U0272,2026-02-27,Tarde,LAB07,DCA0520,Ciência de Dados,EC,Prof. Bruno Costa,Projeto,12,8,Sim
U0273,2026-02-27,Manhã,LAB08,DCA0702,Projetos Integradores,EC,Prof. Bruno Costa,Monitoria,26,29,Sim
U0274,2026-02-27,Tarde,LAB08,DCA0520,Ciência de Dados,EC,Prof. Carla Nunes,Projeto,17,18,Não
